County,State,Age.Percent 65 and Older,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.Hispanic or Latino,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino,Housing.Households,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Percent Female,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned,county_names_with_casing,county_fips,total_votes_2020,total_votes_2016,total_votes_2012,total_votes_2008,total_votes_2004,total_votes_2000,prop_favored_dem_2020,prop_favored_dem_2016,prop_favored_dem_2012,prop_favored_dem_2008,prop_favored_dem_2004,prop_favored_dem_2000,winner_2020
WASHINGTON COUNTY,ID,25.9,16.3,85.0,16.8,94.3,79.1,4035,2.46,40992,22650,6.3,1452.98,11.5,86.0,50.2,10500,10198,7.0,739,172,443,81,620,177,499,Washington County,16087.0,5344,4455,4330,4506,4359,4070,-0.5765344311377246,-0.5627384960718295,-0.4674364896073903,-0.4276520195295161,-0.5141087405368203,-0.4714987714987715,Republican
WASHINGTON COUNTY,IL,20.7,20.9,92.2,1.4,97.2,96.0,6020,2.29,61763,32838,0.9,562.57,1.9,89.4,50.0,13761,14716,26.2,1360,434,781,27,1264,181,1056,Washington County,17189.0,7902,7427,7405,7932,8104,7138,-0.5661857757529739,-0.5551366635249764,-0.3162727886563133,-0.1425869894099848,-0.2574037512339585,-0.2402633790977865,Republican
WASHINGTON COUNTY,IN,17.3,13.4,85.0,1.4,97.9,96.7,10940,2.52,47983,25015,0.7,513.73,2.2,89.5,50.1,28182,28262,55.0,1788,327,1027,32,1647,168,1467,Washington County,18175.0,12139,11382,10737,11305,10880,9801,-0.5214597578054205,-0.4896327534703918,-0.2443885629132904,-0.1731092436974789,-0.2790441176470589,-0.2237526782981328,Republican
WASHINGTON COUNTY,KS,23.9,20.3,91.6,4.0,96.8,93.3,2332,2.29,50588,27841,2.6,894.76,3.2,94.1,49.1,5530,5799,6.5,578,180,253,0,546,0,530,Washington County,20201.0,2883,2765,2889,2980,3190,3267,-0.654873395768297,-0.6535262206148282,-0.6202838352371063,-0.5332214765100671,-0.5815047021943573,-0.5384144475053565,Republican
WASHINGTON COUNTY,KY,18.5,18.8,84.0,4.0,91.6,87.9,4581,2.52,53743,26035,2.3,297.27,5.6,89.3,50.5,12027,11717,39.4,780,248,396,39,715,131,623,Washington County,21229.0,6223,5636,5219,5275,5236,4588,-0.4560501365900691,-0.4600780695528744,-0.3498754550680206,-0.2682464454976304,-0.3351795263559969,-0.3456843940714908,Republican
WASHINGTON COUNTY,MD,17.5,21.9,87.2,5.8,82.0,77.4,56035,2.52,60860,30464,5.2,457.78,7.5,85.6,49.1,154705,147430,322.1,10639,3830,5409,1342,8658,978,8878,Washington County,24043.0,67779,65991,62755,61600,57904,47470,-0.2092093421266174,-0.3010865117970632,-0.1757947573898494,-0.1286363636363636,-0.285472506217187,-0.2049083631767432,Republican
WASHINGTON COUNTY,ME,24.8,22.0,89.3,2.6,91.3,89.3,13791,2.21,41347,25157,4.0,2562.66,6.0,86.5,51.0,31095,32856,12.8,4798,1034,2981,182,4474,500,3889,Washington County,23029.0,17570,16365,15836,16654,16496,15708,-0.1953898690950483,-0.1844179651695691,0.0159762566304622,0.0101477122613186,-0.0126697381183317,-0.0800229182582124,Republican
WASHINGTON COUNTY,MN,15.6,44.3,96.1,4.5,85.4,81.6,94431,2.67,96671,45822,6.9,384.28,9.8,88.7,50.6,267568,238136,619.7,21302,7729,11035,2089,18613,1932,18414,Washington County,27163.0,166786,144235,142133,137059,128449,107009,0.0923398846425959,0.0184282594377231,0.0075000175891594,0.0433608883765386,-0.0339122920380851,-0.0174284405984543,Democrat
WASHINGTON COUNTY,MO,17.2,9.9,76.9,1.5,95.2,94.0,9231,2.57,41483,20581,0.3,759.91,1.0,89.8,48.5,23514,25195,33.2,1126,336,638,0,1069,103,926,Washington County,29221.0,9976,9282,8695,9614,9178,8265,-0.6258019246190858,-0.5518207282913165,-0.1902242668200115,0.0005200748907842612,-0.0198300283286118,0.0032667876588021,Republican
WASHINGTON COUNTY,MS,16.7,17.9,78.8,1.7,25.8,24.8,17988,2.53,29705,20174,1.1,724.74,2.5,88.4,53.9,44922,51137,70.6,4060,1808,1823,2243,1601,398,3428,Washington County,28151.0,18008,16825,19715,19555,17875,18328,0.3999888938249667,0.3646953937592868,0.4225209231549581,0.3477882894400409,0.1975384615384615,0.1657573112178088,Democrat
WASHINGTON COUNTY,NC,25.3,11.5,83.7,5.6,47.7,44.2,4977,2.37,35979,23431,1.6,348.14,2.3,89.0,52.8,11003,13228,38.0,865,370,395,199,597,221,573,Washington County,37187.0,6205,6165,6499,6454,5471,4890,0.0991136180499597,0.1534468775344687,0.1863363594399137,0.1670281995661605,0.0886492414549441,0.1094069529652351,Democrat
WASHINGTON COUNTY,NE,18.6,29.9,95.6,3.0,96.9,94.3,8185,2.45,71430,35145,1.1,389.96,2.4,89.1,49.8,20865,20234,51.9,2109,476,1260,69,1979,247,1732,Washington County,31177.0,12413,10832,10246,10320,9950,8626,-0.4051397728188189,-0.4432237813884785,-0.3676556705055631,-0.262984496124031,-0.4350753768844221,-0.3718989102712728,Republican
WASHINGTON COUNTY,NY,20.1,20.5,87.9,2.9,94.1,92.0,24014,2.43,57258,28530,2.6,831.18,5.2,86.6,48.3,61302,63216,76.1,4420,1484,2393,149,4051,442,3639,Washington County,36115.0,28256,24528,23095,25716,25103,23555,-0.1548697621744054,-0.1839530332681018,0.0519592985494695,0.0080883496655778,-0.1136517547703462,-0.1254510719592443,Republican
WASHINGTON COUNTY,OH,21.6,18.8,90.6,1.2,95.9,94.9,25197,2.33,50021,28782,1.3,631.97,2.1,88.4,50.8,59771,61778,97.8,5390,1271,3148,109,4986,478,4458,Washington County,39167.0,32031,29840,29499,29932,30101,26515,-0.4078548905747556,-0.4184986595174262,-0.1909556256144275,-0.1553855405585995,-0.1662735457293778,-0.1870262115783518,Republican
WASHINGTON COUNTY,OK,19.8,28.5,90.4,6.3,77.2,72.3,20455,2.5,54997,30847,4.5,415.45,6.9,85.0,51.2,52455,50976,122.7,4082,1037,2275,575,3246,480,3273,Washington County,40147.0,23501,22224,21200,22765,23413,20744,-0.4802348836219735,-0.4849262059035277,-0.4781132075471698,-0.4458159455304195,-0.4138299235467475,-0.3443887389124566,Republican
WASHINGTON COUNTY,OR,13.9,44.4,92.2,17.1,79.6,64.6,219053,2.66,82215,39679,17.7,724.23,24.8,83.8,50.5,600372,529710,731.4,43536,16207,21357,7571,33958,4102,36745,Washington County,41067.0,320326,269232,237023,236632,231308,185974,0.3461067787191798,0.2601993819456825,0.1743164165502926,0.2212676222996044,0.0601665312051463,0.0245787045500984,Democrat
WASHINGTON COUNTY,PA,21.0,30.0,93.1,1.8,93.3,91.9,84948,2.38,63543,35537,1.9,856.99,2.9,87.7,50.8,209349,207820,242.5,15079,4718,8876,679,13752,1591,12689,Washington County,42125.0,118478,101450,94750,98002,96177,84441,-0.2278228869494758,-0.2470576638738294,-0.1359894459102902,-0.0472439337972694,0.005739417948158,0.0902642081453322,Republican
WASHINGTON COUNTY,RI,21.5,46.1,94.9,3.4,93.5,90.8,49102,2.43,85531,42869,4.7,329.24,6.2,89.9,51.6,129839,126979,385.7,14292,4541,8101,539,13302,1436,12316,Washington County,44009.0,76060,66369,62879,66160,62486,56224,0.193676045227452,0.0981030300290798,0.1673372668140396,0.2034159613059249,0.1303652018052044,0.1477482925441092,Democrat
WASHINGTON COUNTY,TN,18.8,31.8,88.8,3.6,91.3,88.2,53859,2.28,48334,29656,4.1,326.47,4.8,81.7,51.1,133001,122979,376.7,9519,2685,5333,576,8536,1126,7559,Washington County,47179.0,60203,49750,48032,48982,44984,37942,-0.3622078633955118,-0.4266934673366834,-0.384805962691539,-0.3348168715038176,-0.3286279566067935,-0.2058404933846396,Republican
WASHINGTON COUNTY,TX,22.0,26.8,86.7,16.7,78.6,63.4,12625,2.6,54971,32625,7.3,603.95,14.7,87.7,51.1,35805,33718,55.8,3632,1019,2057,831,2624,297,3188,Washington County,48477.0,17427,14828,14397,14377,13063,11809,-0.4991105755436965,-0.5100485567844619,-0.5192748489268597,-0.4272101272866384,-0.4752353976881268,-0.4783639596917605,Republican
WASHINGTON COUNTY,UT,22.0,28.1,92.9,10.9,93.2,83.8,57144,2.87,59839,29010,5.4,2426.36,9.7,84.7,50.4,180279,138115,56.9,15167,4106,7910,692,13931,1272,12834,Washington County,49053.0,91070,61963,54012,49529,44018,32461,-0.5134951136488415,-0.5222794248180366,-0.6732022513515514,-0.5347372246562621,-0.6388295697214775,-0.6166168633128986,Republican
WASHINGTON COUNTY,VA,23.6,22.8,85.7,1.6,96.7,95.3,22321,2.34,48495,27524,1.4,560.98,1.9,88.3,50.7,53935,54876,97.8,4551,1204,2722,189,4124,542,3669,Washington County,51191.0,28693,25847,25632,24500,22514,20222,-0.5249363956365664,-0.5326343482802646,-0.4316869538077403,-0.3271020408163265,-0.3291285422403838,-0.2232716843042231,Republican
WASHINGTON COUNTY,VT,20.2,41.8,93.7,2.0,95.8,94.1,24828,2.26,62791,35236,3.0,687.23,3.8,89.0,50.3,59807,59534,86.6,7606,2428,4049,271,6930,806,6301,Washington County,50023.0,35325,31086,29307,32200,31448,29749,0.4640905874026894,0.341021681786013,0.4182618487050875,0.4097826086956522,0.2453574154159246,0.1288446670476318,Democrat
WASHINGTON COUNTY,WI,18.5,31.5,94.9,3.3,95.5,92.5,54302,2.47,77663,39055,2.6,430.7,4.0,90.6,50.3,136761,131887,306.2,10017,2886,5376,308,9220,864,8330,Washington County,55131.0,88070,78003,78742,74411,72467,61412,-0.3813670943567616,-0.3958052895401459,-0.4012979096289147,-0.2957896009998522,-0.4057985013868381,-0.3752849605940206,Republican
WASHINGTON PARISH,LA,18.5,11.6,79.5,2.5,67.3,65.4,17613,2.53,37570,20177,1.2,669.53,4.3,84.2,50.6,45463,47168,70.4,3691,1608,1919,993,2616,519,3082,Washington Parish,22117.0,19513,18628,18581,18624,17841,16887,-0.3760057397632347,-0.36847756066137,-0.2869597976427533,-0.3271585051546391,-0.2495375819741045,-0.0937999644697104,Republican
WASHITA COUNTY,OK,18.7,20.8,90.1,10.0,90.6,82.9,4224,2.59,53274,26265,2.2,1003.17,4.3,86.3,50.5,10924,11629,11.6,1001,256,619,72,890,204,754,Washita County,40149.0,4777,4631,4316,4776,5045,4468,-0.7301653757588444,-0.7052472468149428,-0.6190917516218721,-0.5594639865996649,-0.4687809712586719,-0.2878245299910474,Republican
WASHOE COUNTY,NV,16.8,30.8,88.6,25.0,84.6,62.3,182180,2.47,64791,36071,14.1,6302.37,23.7,81.6,49.5,486492,421407,66.9,37029,12047,18503,5881,28801,4272,29568,Washoe County,32031.0,251956,209909,187855,180414,159079,122301,0.0452420263855594,0.0124863631383123,0.0370285592611322,0.12632611659849,-0.0421425832448028,-0.0943818938520535,Democrat
WASHTENAW COUNTY,MI,14.5,55.9,95.3,4.9,74.2,70.2,141245,2.45,72586,41399,12.5,705.97,15.2,77.5,50.4,372258,344791,488.4,33195,12250,17453,5988,25666,2488,28981,Washtenaw County,26161.0,216418,188578,179592,187115,173264,144940,0.4662042898465008,0.412837128403101,0.3590249008864537,0.409544932260909,0.279908117092991,0.2358769145853456,Democrat
WATAUGA COUNTY,NC,16.4,42.2,90.8,4.0,94.8,91.4,21077,2.32,47526,26882,2.9,312.56,4.4,74.0,50.2,54086,51079,163.4,6304,1630,3514,319,5727,675,5247,Watauga County,37189.0,32220,29985,27674,28372,24050,18723,0.0828988206083178,0.0147073536768384,-0.0310399653103997,0.0427886648808684,-0.0593347193347193,-0.1324039950862575,Democrat
WATONWAN COUNTY,MN,20.5,15.5,84.5,26.9,95.1,70.4,4310,2.51,54065,28341,12.2,434.95,21.2,93.1,50.6,11253,11211,25.8,926,237,501,60,796,59,756,Watonwan County,27165.0,5201,4998,5144,5258,5583,5134,-0.2145741203614689,-0.1908763505402161,-0.0044712286158631,0.0068467097755801,-0.0816765180010746,-0.0592130892091936,Republican
WAUKESHA COUNTY,WI,19.2,44.5,96.2,4.9,92.5,88.0,158808,2.49,87277,46073,5.1,549.57,7.1,88.9,50.8,406978,389891,709.4,35566,10082,20304,1895,32227,3090,29954,Waukesha County,55133.0,267996,239042,243856,232897,230363,203734,-0.2079993731249719,-0.2648948720308565,-0.3445435010826062,-0.2568216851226079,-0.3529212590563588,-0.337626513002248,Republican
WAUPACA COUNTY,WI,21.3,19.9,91.8,3.3,96.8,94.0,22305,2.23,58693,32000,2.1,747.71,3.9,87.9,49.3,51812,52410,70.1,4388,1133,2328,89,4138,274,3861,Waupaca County,55135.0,29130,26024,28840,25511,26974,22804,-0.3175077239958805,-0.2977636028281586,-0.1880721220527046,0.0282231194386735,-0.1908875213168235,-0.1838712506577793,Republican
WAUSHARA COUNTY,WI,25.0,16.3,86.8,6.4,95.2,89.5,9934,2.31,52810,28580,2.9,626.15,7.8,89.2,47.4,24520,24496,39.1,1908,564,1079,71,1756,273,1532,Waushara County,55137.0,13568,11999,12048,11849,12246,10248,-0.3410966981132076,-0.3231102591882656,-0.1018426294820716,0.0082707401468478,-0.1331863465621426,-0.1299765807962529,Republican
WAYNE COUNTY,GA,16.0,13.0,83.4,6.5,76.3,71.1,10400,2.66,45483,21090,2.4,641.78,5.6,88.0,48.8,30144,30099,46.9,2012,844,1020,520,1390,197,1701,Wayne County,13305.0,12778,10413,10269,10560,9542,8004,-0.5712944122710909,-0.5869586094305195,-0.4831044892394585,-0.4491477272727273,-0.4334521064766297,-0.3102198900549724,Republican
WAYNE COUNTY,IA,22.5,12.7,87.9,1.6,97.3,95.8,2689,2.35,44768,25628,1.3,525.44,10.5,91.9,50.3,6497,6403,12.2,738,279,284,0,707,48,664,Wayne County,19185.0,3109,2940,2900,2980,3133,3021,-0.5201029269861691,-0.4591836734693878,-0.1144827586206896,-0.0697986577181208,-0.1129907436961379,-0.1211519364448857,Republican
WAYNE COUNTY,IL,22.2,15.4,87.9,1.6,97.4,96.0,7051,2.32,50251,26313,0.8,713.81,3.4,89.6,50.6,16179,16760,23.5,1445,361,930,51,1314,135,1208,Wayne County,17191.0,8486,8261,7680,8071,8287,7693,-0.7057506481263258,-0.7164992131703184,-0.5825520833333333,-0.3522487919712551,-0.4782188970676964,-0.4079032887040166,Republican
WAYNE COUNTY,IN,19.5,18.2,86.5,3.2,90.5,87.8,26644,2.39,46516,26510,2.4,401.74,5.3,85.0,51.6,66553,68917,171.5,5002,1306,2776,282,4449,550,4008,Wayne County,18177.0,27679,25579,25477,28562,27657,25151,-0.2905813071281477,-0.3012627546033856,-0.1464065627821172,-0.0384776976402212,-0.2101095563510142,-0.1590394020118484,Republican
WAYNE COUNTY,KY,21.8,12.3,74.6,3.7,95.6,92.8,8231,2.46,34914,25707,2.2,458.17,2.9,92.6,50.2,19555,20813,45.4,1454,357,961,49,1368,156,1241,Wayne County,21231.0,9240,7992,7210,7196,7685,6474,-0.6201298701298701,-0.6181181181181181,-0.4762829403606102,-0.3706225680933852,-0.3137280416395576,-0.271393265369169,Republican
WAYNE COUNTY,MI,15.8,23.9,86.5,6.1,54.6,49.4,682282,2.54,47301,27282,9.1,612.08,14.6,87.3,51.8,1793561,1820584,2974.4,151746,71897,69371,70996,77652,12688,134610,Wayne County,26163.0,872469,777838,815825,890326,864728,768627,0.3812364680005823,0.3734080875452214,0.4682768976189746,0.4947659621307252,0.3958435484915488,0.3999248009762862,Democrat
WAYNE COUNTY,MO,24.3,9.6,76.2,1.8,96.0,94.5,5426,2.41,34316,19457,0.6,759.18,1.1,91.6,50.8,10974,13521,17.8,908,184,616,52,824,187,688,Wayne County,29223.0,5878,5655,5720,6154,6204,5848,-0.7046614494726098,-0.6560565870910698,-0.3456293706293706,-0.2504062398440039,-0.2690199871050935,-0.1639876880984952,Republican
WAYNE COUNTY,MS,17.6,15.3,79.3,1.6,58.6,57.5,7683,2.63,37706,23668,0.8,810.75,1.7,94.1,52.0,19779,20747,25.6,1547,614,852,589,914,76,1426,Wayne County,28153.0,10056,9599,10332,9996,8527,7705,-0.2668058870326174,-0.2569017606000625,-0.1899922570654277,-0.2180872348939576,-0.2554239474610062,-0.2146658014276443,Republican
WAYNE COUNTY,NC,16.9,19.0,84.5,12.4,62.8,52.7,48343,2.49,44416,25277,7.5,553.09,13.5,83.0,51.3,117333,122623,221.7,7136,2486,3839,1845,4999,964,5594,Wayne County,37191.0,55537,50689,51352,49882,40046,33884,-0.1169310549723608,-0.1138314032630353,-0.0842615672223087,-0.0858225411972254,-0.2448933726214853,-0.2288100578444102,Republican
WAYNE COUNTY,NE,16.7,32.4,96.0,6.6,95.2,89.3,3708,2.18,56456,27671,3.5,442.92,6.4,80.9,49.8,9697,9595,21.7,727,212,386,0,681,65,624,Wayne County,31179.0,4200,3776,3682,3808,4085,3940,-0.484047619047619,-0.4920550847457626,-0.3853883758826724,-0.3293067226890756,-0.4680538555691554,-0.45,Republican
WAYNE COUNTY,NY,19.5,22.6,89.2,4.7,93.4,89.5,36720,2.42,59449,31043,3.0,603.83,5.2,88.8,50.3,91283,93772,155.3,5739,1837,3351,385,5109,576,4886,Wayne County,36117.0,45031,39687,37547,41002,41200,38329,-0.1942661721924896,-0.2496283417743845,-0.0403760620022904,-0.0988976147504999,-0.1949757281553398,-0.1754285267030186,Republican
WAYNE COUNTY,OH,18.3,22.2,86.5,2.1,95.2,93.5,43824,2.56,58300,27884,2.1,554.93,11.4,86.6,50.3,116894,114520,206.4,10450,2503,6229,187,10006,1000,8897,Wayne County,39169.0,54283,49853,51064,52142,51848,42436,-0.3702632500046055,-0.3457966421278559,-0.204508068306439,-0.1463311725672202,-0.2332394692177133,-0.2620887925346404,Republican
WAYNE COUNTY,PA,24.6,20.4,89.6,4.9,94.0,89.9,18841,2.52,56096,27412,2.7,725.6,4.8,89.9,46.9,51155,52822,72.8,5270,1043,3336,179,4893,653,4239,Wayne County,42127.0,28089,24018,21607,22833,21967,18914,-0.336288226707964,-0.3845449246398534,-0.2082658397741472,-0.1230674900363509,-0.2573405562889789,-0.2271862112720735,Republican
WAYNE COUNTY,TN,19.9,9.7,80.2,2.2,91.4,89.5,5764,2.54,41427,20689,1.1,734.1,1.7,92.5,44.6,16232,17021,23.2,1057,299,647,28,999,104,898,Wayne County,47181.0,6669,5857,5486,5527,5983,5306,-0.7459889038836407,-0.7374082294690115,-0.5632519139628145,-0.4923104758458476,-0.3421360521477519,-0.284771956275914,Republican
WAYNE COUNTY,UT,22.0,23.4,88.4,7.0,95.8,89.9,1000,2.64,44245,22038,3.2,2460.68,10.1,89.0,48.8,2486,2778,1.1,373,87,232,0,351,0,354,Wayne County,49055.0,1621,1421,1327,1314,1360,1225,-0.5330043183220234,-0.4890921885995777,-0.6586284853051997,-0.4604261796042617,-0.575735294117647,-0.6130612244897959,Republican
WAYNE COUNTY,WV,21.7,15.1,79.7,0.7,97.6,97.1,15124,2.65,37988,21553,1.0,505.98,1.5,88.8,51.1,38982,42481,84.0,1938,560,1206,38,1809,379,1433,Wayne County,54099.0,16947,15182,13955,15430,18609,16241,-0.5013866761078657,-0.5134369648267686,-0.2692225008957363,-0.1821127673363577,-0.0891504110914074,-0.0032633458530878,Republican
WAYNESBORO CITY,VA,17.6,27.1,86.1,8.1,81.4,75.1,9193,2.39,45011,27033,3.8,15.04,6.8,83.2,51.1,22196,21006,1396.8,1693,484,959,272,1218,153,1331,Waynesboro city,51820.0,10717,9204,8791,8860,7963,7102,-0.0509470934030045,-0.1126684050412863,-0.1080650665453304,-0.1025959367945823,-0.2888358658796935,-0.1896648831315122,Republican
WEAKLEY COUNTY,TN,19.0,21.6,85.1,2.9,88.9,86.5,13640,2.27,39937,22755,1.7,580.36,2.0,84.3,51.2,32902,35021,60.3,2292,631,1392,160,2027,235,1905,Weakley County,47183.0,13735,12184,12337,13690,13491,11844,-0.5370222060429559,-0.5118187787261983,-0.4099051633298208,-0.3111029948867786,-0.1654436290860574,-0.0452549814251941,Republican
WEBB COUNTY,TX,9.7,18.9,67.6,95.4,97.6,3.6,74789,3.61,46475,18466,25.9,3361.48,89.9,89.5,50.8,267114,250304,74.5,28459,11040,14535,25633,1846,1602,25918,Webb County,48479.0,68397,56905,49110,46821,41556,31571,0.2327879877772417,0.5159476320182761,0.5399918550193443,0.4342709467973772,0.1420011550678602,0.1597668746634569,Democrat
WEBER COUNTY,UT,11.9,24.5,90.6,18.7,92.2,75.6,83632,2.97,67244,27828,6.9,576.08,14.0,84.3,49.7,262223,231236,401.4,16247,5023,8712,1612,14018,1215,13996,Weber County,49057.0,111403,85039,75912,73394,72691,62742,-0.2266904840982738,-0.2011312456637543,-0.4529323427126145,-0.275485734528708,-0.4310987605068027,-0.30862898855631,Republican
WEBSTER COUNTY,GA,23.7,14.7,79.3,5.0,55.0,51.3,1140,2.29,37297,24102,4.1,209.12,9.6,91.7,50.3,2348,2799,13.4,88,29,56,40,46,0,76,Webster County,13307.0,1390,1116,1187,1111,1004,909,-0.0784172661870503,-0.1406810035842294,-0.0160067396798651,-0.0657065706570656,0.0298804780876493,0.2002200220022001,Republican
WEBSTER COUNTY,IA,18.8,19.9,90.5,5.5,91.3,86.6,15306,2.2,47466,26498,2.8,715.62,4.0,85.1,48.3,36999,38013,53.1,3047,1087,1458,174,2689,280,2543,Webster County,19187.0,17822,17430,18292,18554,18631,17048,-0.2444731231062731,-0.2152036718301778,0.0583861797507107,0.0851568394955266,0.0323117385003488,0.0180079774753636,Republican
WEBSTER COUNTY,KY,18.1,10.0,82.5,5.6,93.0,88.3,4953,2.56,42119,22911,3.7,331.94,5.7,86.0,50.5,13017,13621,41.0,711,213,380,25,661,84,577,Webster County,21233.0,5991,5805,5470,5540,5547,5072,-0.5164413286596561,-0.5438415159345392,-0.3367458866544789,-0.1167870036101083,-0.1627906976744186,-0.0416009463722397,Republican
WEBSTER COUNTY,MO,15.7,16.8,86.1,2.2,95.7,94.0,13575,2.78,50560,22961,0.9,592.56,6.5,84.5,48.8,39085,36202,61.1,3074,862,1610,70,2868,211,2586,Webster County,29225.0,18779,16743,15429,16356,14944,11880,-0.6021087384844773,-0.5771367138505644,-0.4082571780413506,-0.2901687454145267,-0.3705165952890792,-0.2673400673400674,Republican
WEBSTER COUNTY,MS,17.9,18.5,84.9,1.5,79.6,78.4,3782,2.56,45730,22011,0.3,420.94,0.6,89.7,51.2,9926,10253,24.4,898,272,524,154,717,139,732,Webster County,28155.0,5395,5069,5234,5439,5002,4545,-0.6020389249304912,-0.5833497731307951,-0.5353458158196408,-0.5006435006435006,-0.469812075169932,-0.3614961496149615,Republican
WEBSTER COUNTY,NE,23.4,23.0,93.8,5.4,96.1,91.0,1507,2.3,46188,29969,0.9,574.91,2.3,86.4,50.3,3395,3812,6.6,369,42,263,0,354,71,277,Webster County,31181.0,1876,1708,1742,1817,2002,1945,-0.626865671641791,-0.5995316159250585,-0.4684270952927669,-0.3747936158503027,-0.4225774225774225,-0.3691516709511568,Republican
WEBSTER COUNTY,WV,24.0,11.4,79.3,0.7,97.8,97.1,3781,2.2,34927,22054,0.0,553.47,0.1,92.0,49.7,8378,9154,16.5,518,198,289,0,496,99,397,Webster County,54101.0,3402,2978,2755,3057,3714,3308,-0.6316872427983539,-0.5862995298858295,-0.276950998185118,0.0543016028786392,0.0648896068928379,0.0846432889963724,Republican
WEBSTER PARISH,LA,20.2,15.4,83.9,2.1,63.2,61.6,16551,2.31,28951,18962,1.1,593.03,2.0,92.1,51.3,36967,41207,69.5,3426,1230,1732,919,2379,360,2887,Webster Parish,22119.0,18216,18145,18416,18270,18449,17090,-0.3106060606060606,-0.2910994764397905,-0.249674196350999,-0.2631089217296113,-0.2296601441812564,-0.1300760678759508,Republican
WELD COUNTY,CO,12.4,27.5,88.1,30.0,92.4,64.9,104671,2.85,74150,31793,8.7,3987.24,19.3,83.3,49.4,328981,252825,63.4,22381,8221,11009,3432,18038,2181,19120,Weld County,8123.0,166974,135428,115866,105866,88652,64541,-0.1801777522248973,-0.2224946096818973,-0.127086461947422,-0.0872234711805489,-0.2675968957271127,-0.2164980400055778,Republican
WELLS COUNTY,IN,18.6,18.2,92.2,3.3,96.9,93.9,10888,2.52,59237,28663,1.4,368.09,2.8,86.4,50.6,28180,27636,75.1,1875,516,1077,66,1703,178,1546,Wells County,18179.0,14050,13185,12935,13073,12354,11281,-0.5641992882562278,-0.5626848691695108,-0.4499420177812138,-0.3136999923506463,-0.4902056014246398,-0.393227550749047,Republican
WELLS COUNTY,ND,28.7,22.2,87.0,1.2,97.3,96.2,1943,2.0,57582,35134,0.3,1271.05,1.7,89.8,49.8,3982,4207,3.3,440,132,207,0,354,0,350,Wells County,38103.0,2374,2383,2379,2377,2561,2410,-0.6112047177759057,-0.5778430549727235,-0.4123581336696091,-0.2637778712663021,-0.3108160874658336,-0.3937759336099584,Republican
WEST BATON ROUGE PARISH,LA,14.3,22.0,87.2,3.4,57.6,54.8,9643,2.61,65385,29697,1.0,192.39,3.2,87.7,50.8,27199,23788,123.6,1966,713,1051,758,1121,138,1734,West Baton Rouge Parish,22121.0,14097,12712,12774,11866,10835,10169,-0.1052706249556643,-0.1214600377595973,-0.0962893377172381,-0.135766054272712,-0.0821412090447623,0.0131773035696725,Republican
WEST CARROLL PARISH,LA,19.4,11.7,78.8,4.3,81.2,77.8,4084,2.6,38500,22439,1.5,359.65,4.7,94.1,49.3,9751,11604,32.3,658,168,426,78,546,74,545,West Carroll Parish,22123.0,5052,4759,4548,4987,5033,4675,-0.7139746634996041,-0.6839672200042026,-0.6101583113456465,-0.6350511329456587,-0.4985098350884165,-0.4066310160427807,Republican
